datetime,season,holiday,workingday,weather,temp,humidity,windspeed,casual,registered,rented_bikes_count,Profit
1/1/2011 0:00,Spring,0.0,0.0,Clear,10.0,81.0,13.0,3,13,16,107.3287671
1/1/2011 1:00,Spring,0.0,0.0,Clear,9.0,80.0,0.0,8,32,40,275.0287671
1/1/2011 2:00,Spring,0.0,0.0,Clear,9.0,62.0,0.0,5,27,32,201.9287671
1/1/2011 3:00,Spring,0.0,0.0,Clear,10.0,75.0,0.0,3,10,13,94.42876712
1/1/2011 4:00,Winter,0.0,0.0,Clear,20.0,75.0,13.0,0,1,1,4.128767123
1/1/2011 5:00,Winter,0.0,,Mist,10.0,62.0,6.0,0,1,1,4.128767123
1/1/2011 6:00,Spring,0.0,0.0,Clear,20.0,62.0,0.0,2,0,2,34.22876712
1/1/2011 7:00,Spring,0.0,0.0,Clear,8.0,62.0,13.0,1,2,3,25.62876712
1/1/2011 8:00,Spring,0.0,0.0,Clear,10.0,62.0,0.0,1,7,8,47.12876712
1/1/2011 9:00,Spring,0.0,0.0,Clear,20.0,76.0,0.0,8,6,14,163.2287671
1/1/2011 10:00,Spring,0.0,0.0,Clear,16.0,76.0,13.0,12,24,36,309.4287671
1/1/2011 11:00,Spring,,0.0,Clear,15.0,81.0,19.0,26,30,56,576.0287671
1/1/2011 12:00,Spring,0.0,,Clear,20.0,77.0,19.0,29,55,84,735.1287671
1/1/2011 13:00,Spring,0.0,0.0,Mist,19.0,62.0,13.0,47,47,94,1010.328767
1/1/2011 14:00,Spring,0.0,0.0,Mist,19.0,72.0,19.0,35,71,106,907.1287671
1/1/2011 15:00,Spring,0.0,0.0,Mist,18.0,77.0,20.0,40,70,110,988.8287671
1/1/2011 16:00,Spring,0.0,0.0,Mist,17.0,82.0,20.0,41,52,93,928.6287671
1/1/2011 17:00,Spring,,,Mist,18.0,82.0,19.0,15,52,67,481.4287671
1/1/2011 18:00,Spring,,0.0,Rainy,17.0,88.0,17.0,9,26,35,266.4287671
1/1/2011 19:00,Spring,0.0,0.0,Rainy,17.0,62.0,17.0,6,31,37,236.3287671
1/1/2011 20:00,Spring,0.0,0.0,Mist,16.0,62.0,17.0,11,25,36,296.5287671
1/1/2011 21:00,Spring,0.0,0.0,Mist,20.0,87.0,13.0,3,31,34,184.7287671
1/1/2011 22:00,Spring,0.0,0.0,Mist,16.0,62.0,13.0,11,17,28,262.1287671
1/1/2011 23:00,Spring,0.0,0.0,Mist,20.0,62.0,13.0,15,24,39,361.0287671
1/2/2011 0:00,Spring,0.0,,Mist,19.0,88.0,20.0,4,13,17,124.5287671
1/2/2011 1:00,Spring,0.0,0.0,Mist,18.0,62.0,13.0,1,16,17,85.82876712
